student_id,subject,grade,quarter
20243703,Mother Tongue 1,82,1st
20248825,Mother Tongue 1,92,3rd
20242966,Mother Tongue 1,80,3rd
20248952,Mother Tongue 1,94,4th
20247557,Mother Tongue 1,92,3rd
20246039,Mother Tongue 1,80,4th
20241380,Mother Tongue 1,90,1st
20242619,Mother Tongue 1,87,2nd
20244829,Mother Tongue 1,80,1st
20243380,Mother Tongue 1,82,4th
20241437,Mother Tongue 1,84,2nd
20245444,Mother Tongue 1,88,1st
20244098,Mother Tongue 1,89,4th
20243398,Mother Tongue 1,87,1st
20248952,Mother Tongue 1,90,3rd
20240832,Mother Tongue 1,81,1st
20248825,Mother Tongue 1,90,2nd
20247114,Mother Tongue 1,88,4th
20242619,Mother Tongue 1,90,3rd
20245444,Mother Tongue 1,90,2nd
20247114,Filipino 1,89,2nd
20249483,Filipino 1,84,1st
20248952,Filipino 1,83,1st
20243328,Filipino 1,87,4th
20243380,Filipino 1,83,3rd
20249547,Filipino 1,90,4th
20248919,Filipino 1,87,3rd
20247557,Filipino 1,89,2nd
20249483,Filipino 1,86,2nd
20246039,Filipino 1,89,1st
20243938,Filipino 1,80,4th
20241437,Filipino 1,83,2nd
20247808,Filipino 1,85,1st
20246233,Filipino 1,89,2nd
20243938,Filipino 1,81,2nd
20240085,Filipino 1,84,3rd
20243752,Filipino 1,86,1st
20245444,Filipino 1,90,4th
20246039,Filipino 1,91,4th
20243328,Filipino 1,86,2nd
20243703,Filipino 1,85,3rd
20242150,Filipino 1,88,3rd
20246039,Filipino 1,90,3rd
20249547,Filipino 1,89,2nd
20243562,Filipino 1,87,3rd
20243933,Filipino 1,86,1st
20244940,Filipino 1,88,4th
20243398,Filipino 1,82,2nd
20240085,Filipino 1,85,2nd
20245872,Filipino 1,84,1st
20244829,Filipino 1,89,2nd
20248825,Filipino 1,91,4th
20247114,Filipino 1,89,3rd
20246056,Filipino 1,82,1st
20247114,Filipino 1,90,1st
20243562,Filipino 1,88,1st
20245641,Filipino 1,82,1st
20249217,Filipino 1,90,1st
20245641,Filipino 1,85,4th
20240085,Filipino 1,82,1st
20245641,Filipino 1,81,2nd
20244098,Filipino 1,87,2nd
20247808,Filipino 1,88,3rd
20245444,Filipino 1,90,2nd
20248593,Filipino 1,94,4th
20241437,Filipino 1,87,4th
20242150,Filipino 1,89,4th
20246056,Filipino 1,86,4th
20243703,Filipino 1,86,4th
20244829,Filipino 1,90,3rd
20242966,Filipino 1,84,1st
20240832,Filipino 1,81,1st
20242069,Filipino 1,91,4th
20244940,Filipino 1,84,1st
20245641,Filipino 1,83,3rd
20246056,Filipino 1,83,2nd
20248952,Filipino 1,89,4th
20247557,Filipino 1,91,1st
20240832,Filipino 1,84,2nd
20244098,Filipino 1,89,3rd
20244098,Filipino 1,87,1st
20248593,Filipino 1,90,1st
20243328,Filipino 1,85,1st
20249547,Filipino 1,89,1st
20246233,Filipino 1,92,4th
20245444,Filipino 1,90,3rd
20247557,Filipino 1,90,3rd
20245872,Filipino 1,88,3rd
20240085,Filipino 1,86,4th
20242150,Filipino 1,86,1st
20248365,Filipino 1,82,2nd
20241437,Filipino 1,85,3rd
20248593,Filipino 1,90,2nd
20249483,Filipino 1,87,3rd
20244940,Filipino 1,87,2nd
20248365,Filipino 1,86,4th
20243398,Filipino 1,80,4th
20248593,Filipino 1,92,3rd
20243562,Filipino 1,85,2nd
20246233,Filipino 1,87,1st
20248919,Filipino 1,90,4th
20242069,Filipino 1,89,2nd
20248952,Filipino 1,87,2nd
20243703,Filipino 1,86,1st
20243562,Filipino 1,87,4th
20249547,Filipino 1,88,3rd
20246039,Filipino 1,89,2nd
20241380,Filipino 1,89,3rd
20242069,Filipino 1,87,1st
20246233,Filipino 1,89,3rd
20244829,Filipino 1,90,4th
20247808,Filipino 1,89,4th
20244829,Filipino 1,87,1st
20242150,Filipino 1,87,2nd
20242619,Filipino 1,87,2nd
20242619,Filipino 1,88,4th
20241437,Filipino 1,83,1st
20247114,Filipino 1,91,4th
20243752,Filipino 1,88,3rd
20247557,Filipino 1,90,4th
20243380,Filipino 1,82,1st
20245444,Filipino 1,89,1st
20243752,Filipino 1,86,2nd
20241380,Filipino 1,87,4th
20242619,Filipino 1,86,1st
20243938,Filipino 1,80,3rd
20247808,Filipino 1,86,2nd
20248825,Filipino 1,90,3rd
20245872,Filipino 1,84,2nd
20243398,Filipino 1,79,3rd
20243398,Filipino 1,80,1st
20243752,Filipino 1,90,4th
20243328,Filipino 1,86,3rd
20243703,Filipino 1,85,2nd
20249217,Filipino 1,87,3rd
20248919,Filipino 1,88,1st
20243380,Filipino 1,85,4th
20243933,Filipino 1,88,3rd
20246056,Filipino 1,87,3rd
20244098,Filipino 1,89,4th
20244940,Filipino 1,87,3rd
20241380,Filipino 1,90,1st
20249483,Filipino 1,87,4th
20249217,Filipino 1,86,4th
20248919,Filipino 1,86,2nd
20240832,Filipino 1,85,3rd
20242966,Filipino 1,85,2nd
20248365,Filipino 1,80,1st
20243933,Filipino 1,92,4th
20240832,Filipino 1,85,4th
20248952,Filipino 1,88,3rd
20245872,Filipino 1,88,4th
20243933,Filipino 1,87,2nd
20242966,Filipino 1,87,3rd
20243938,Filipino 1,81,1st
20241380,Filipino 1,89,2nd
20243380,Filipino 1,83,2nd
20248825,Filipino 1,90,1st
20249217,Filipino 1,87,2nd
20242619,Filipino 1,88,3rd
20248825,Filipino 1,89,2nd
20242966,Filipino 1,90,4th
20242069,Filipino 1,89,3rd
20248365,Filipino 1,85,3rd
20242966,Mathematics 1,76,3rd
20241380,Mathematics 1,75,1st
20243938,Mathematics 1,89,1st
20243380,Mathematics 1,85,1st
20244098,Mathematics 1,79,2nd
20245641,Mathematics 1,84,2nd
20242069,Mathematics 1,90,2nd
20243328,Mathematics 1,94,2nd
20243328,Mathematics 1,92,3rd
20248365,Mathematics 1,92,1st
20241437,Mathematics 1,89,3rd
20240085,Mathematics 1,88,2nd
20249547,Mathematics 1,84,3rd
20241437,Mathematics 1,90,2nd
20249547,Mathematics 1,81,1st
20244829,Mathematics 1,82,2nd
20244940,Mathematics 1,85,2nd
20248919,Mathematics 1,83,3rd
20245444,Mathematics 1,81,3rd
20244098,Mathematics 1,77,3rd
20242150,Mathematics 1,89,2nd
20243703,Mathematics 1,75,1st
20242966,Mathematics 1,77,2nd
20244940,Mathematics 1,84,1st
20243398,Mathematics 1,86,4th
20248919,Mathematics 1,84,2nd
20246039,Mathematics 1,84,2nd
20241437,Mathematics 1,91,4th
20246039,Mathematics 1,85,1st
20244940,Mathematics 1,87,3rd
20248919,Mathematics 1,87,4th
20240832,Mathematics 1,93,3rd
20246056,Mathematics 1,90,1st
20247557,Mathematics 1,87,4th
20243933,Mathematics 1,79,1st
20243562,Mathematics 1,78,1st
20249217,Mathematics 1,92,4th
20249483,Mathematics 1,90,3rd
20243703,Mathematics 1,83,4th
20249547,Mathematics 1,87,4th
20243752,Mathematics 1,82,3rd
20247557,Mathematics 1,91,2nd
20243562,Mathematics 1,80,4th
20243562,Mathematics 1,79,2nd
20243703,Mathematics 1,78,2nd
20248952,Mathematics 1,79,1st
20245444,Mathematics 1,80,4th
20244829,Mathematics 1,81,4th
20248825,Mathematics 1,86,3rd
20247114,Mathematics 1,87,1st
20243938,Mathematics 1,91,2nd
20248593,Mathematics 1,89,2nd
20246056,Mathematics 1,93,4th
20243380,Mathematics 1,88,3rd
20249217,Mathematics 1,91,3rd
20249547,Mathematics 1,83,2nd
20240832,Mathematics 1,94,2nd
20240085,Mathematics 1,91,1st
20246039,Mathematics 1,85,4th
20243933,Mathematics 1,80,3rd
20247808,Mathematics 1,80,4th
20249483,Mathematics 1,87,1st
20248365,Mathematics 1,91,3rd
20245641,Mathematics 1,83,1st
20242619,Mathematics 1,89,4th
20248952,Mathematics 1,81,2nd
20245872,Mathematics 1,81,4th
20242069,Mathematics 1,89,4th
20245641,Mathematics 1,86,4th
20247557,Mathematics 1,90,3rd
20243933,Mathematics 1,82,2nd
20242619,Mathematics 1,85,1st
20240085,Mathematics 1,90,3rd
20246233,Mathematics 1,80,3rd
20241380,Mathematics 1,79,4th
20248593,Mathematics 1,90,4th
20245872,Mathematics 1,78,2nd
20245444,Mathematics 1,79,2nd
20244098,Mathematics 1,81,4th
20243398,Mathematics 1,84,2nd
20241437,Mathematics 1,88,1st
20243328,Mathematics 1,93,4th
20249483,Mathematics 1,89,2nd
20248365,Mathematics 1,90,2nd
20245641,Mathematics 1,83,3rd
20243752,Mathematics 1,80,2nd
20246039,Mathematics 1,86,3rd
20247808,Mathematics 1,81,3rd
20243938,Mathematics 1,91,4th
20242150,Mathematics 1,88,1st
20248825,Mathematics 1,85,1st
20241380,Mathematics 1,80,3rd
20243328,Mathematics 1,91,1st
20247114,Mathematics 1,87,4th
20243562,Mathematics 1,81,3rd
20242966,Mathematics 1,75,1st
20244940,Mathematics 1,86,4th
20245444,Mathematics 1,78,1st
20241380,Mathematics 1,78,2nd
20246056,Mathematics 1,91,3rd
20246233,Mathematics 1,78,1st
20242069,Mathematics 1,88,3rd
20247808,Mathematics 1,78,1st
20245872,Mathematics 1,75,1st
20244829,Mathematics 1,80,3rd
20248825,Mathematics 1,87,4th
20244098,Mathematics 1,76,1st
20243380,Mathematics 1,87,2nd
20249217,Mathematics 1,93,2nd
20243752,Mathematics 1,81,4th
20243933,Mathematics 1,81,4th
20248593,Mathematics 1,88,3rd
20242619,Mathematics 1,86,3rd
20248919,Mathematics 1,82,1st
20246233,Mathematics 1,84,4th
20248593,Mathematics 1,87,1st
20243380,Mathematics 1,90,4th
20246233,Mathematics 1,81,2nd
20243703,Mathematics 1,80,3rd
20242150,Mathematics 1,91,3rd
20248952,Mathematics 1,80,3rd
20240085,Mathematics 1,91,4th
20243938,Mathematics 1,90,3rd
20243398,Mathematics 1,79,1st
20249217,Mathematics 1,90,1st
20248825,Mathematics 1,88,2nd
20242150,Mathematics 1,90,4th
20244829,Mathematics 1,79,1st
20242069,Mathematics 1,87,1st
20248952,Mathematics 1,84,4th
20247557,Mathematics 1,88,1st
20242619,Mathematics 1,87,2nd
20247114,Mathematics 1,90,3rd
20240832,Mathematics 1,90,1st
20247808,Mathematics 1,79,2nd
20248365,Mathematics 1,90,4th
20240832,Mathematics 1,95,4th
20247114,Mathematics 1,88,2nd
20243398,Mathematics 1,82,3rd
20249483,Mathematics 1,88,4th
20246056,Mathematics 1,92,2nd
20242966,Mathematics 1,78,4th
20243752,Mathematics 1,78,1st
20245872,Mathematics 1,80,3rd
20243398,English 1,78,1st
20249483,English 1,93,4th
20247557,English 1,90,3rd
20246039,English 1,88,2nd
20243562,English 1,81,2nd
20249217,English 1,78,3rd
20243380,English 1,90,4th
20248919,English 1,79,3rd
20246039,English 1,90,3rd
20248919,English 1,78,1st
20241380,English 1,78,2nd
20245444,English 1,81,2nd
20241380,English 1,75,1st
20248825,English 1,84,4th
20242069,English 1,82,1st
20240085,English 1,84,1st
20249547,English 1,83,3rd
20243752,English 1,83,3rd
20242150,English 1,91,3rd
20245444,English 1,84,3rd
20246233,English 1,90,4th
20247557,English 1,87,2nd
20243703,English 1,89,3rd
20245444,English 1,78,1st
20242619,English 1,82,1st
20241437,English 1,89,4th
20244098,English 1,87,3rd
20240085,English 1,86,2nd
20248365,English 1,89,2nd
20248919,English 1,78,4th
20243938,English 1,91,3rd
20242619,English 1,81,2nd
20244940,English 1,88,2nd
20244829,English 1,87,3rd
20246039,English 1,87,4th
20248919,English 1,77,2nd
20243703,English 1,90,4th
20248593,English 1,85,4th
20242966,English 1,89,3rd
20241380,English 1,79,4th
20246056,English 1,81,1st
20241437,English 1,87,1st
20243380,English 1,87,1st
20241437,English 1,88,3rd
20248825,English 1,83,3rd
20242966,English 1,88,1st
20245872,English 1,77,2nd
20243933,English 1,82,3rd
20245444,English 1,85,4th
20247557,English 1,88,1st
20248952,English 1,84,1st
20242150,English 1,92,2nd
20249217,English 1,77,2nd
20245872,English 1,76,4th
20243938,English 1,90,4th
20243328,English 1,95,3rd
20242069,English 1,79,3rd
20243328,English 1,92,2nd
20243398,English 1,82,2nd
20242966,English 1,90,4th
20247808,English 1,92,4th
20244829,English 1,86,4th
20243933,English 1,81,2nd
20247114,English 1,83,3rd
20249483,English 1,90,1st
20243752,English 1,82,1st
20244829,English 1,84,1st
20244098,English 1,81,1st
20245641,English 1,88,2nd
20245641,English 1,85,1st
20243562,English 1,75,1st
20247808,English 1,77,1st
20248365,English 1,88,1st
20242619,English 1,79,3rd
20247114,English 1,84,2nd
20240832,English 1,83,3rd
20247114,English 1,87,4th
20248952,English 1,87,4th
20244940,English 1,87,3rd
20243933,English 1,80,4th
20249217,English 1,78,1st
20240832,English 1,87,4th
20242966,English 1,87,2nd
20242150,English 1,90,1st
20240832,English 1,80,2nd
20247808,English 1,90,3rd
20249547,English 1,87,4th
20249483,English 1,88,2nd
20243752,English 1,86,4th
20244098,English 1,86,4th
20247114,English 1,79,1st
20243562,English 1,83,3rd
20248365,English 1,91,3rd
20240085,English 1,88,4th
20242619,English 1,80,4th
20243703,English 1,90,2nd
20242069,English 1,80,4th
20243752,English 1,85,2nd
20246039,English 1,87,1st
20246056,English 1,85,3rd
20245641,English 1,90,3rd
20248593,English 1,79,3rd
20243380,English 1,89,2nd
20241437,English 1,90,2nd
20246056,English 1,87,4th
20243328,English 1,94,4th
20246233,English 1,89,2nd
20245872,English 1,79,3rd
20248593,English 1,81,1st
20246233,English 1,88,3rd
20242150,English 1,93,4th
20241380,English 1,77,3rd
20248952,English 1,86,2nd
20243938,English 1,90,1st
20240832,English 1,78,1st
20248365,English 1,90,4th
20249547,English 1,80,2nd
20248825,English 1,85,2nd
20243380,English 1,88,3rd
20245872,English 1,75,1st
20244940,English 1,85,1st
20244829,English 1,85,2nd
20243938,English 1,92,2nd
20249217,English 1,82,4th
20240085,English 1,85,3rd
20246056,English 1,84,2nd
20247557,English 1,89,4th
20243328,English 1,93,1st
20248952,English 1,85,3rd
20244940,English 1,89,4th
20247808,English 1,89,2nd
20248825,English 1,82,1st
20249547,English 1,78,1st
20242069,English 1,81,2nd
20245641,English 1,89,4th
20246233,English 1,87,1st
20243398,English 1,83,4th
20243703,English 1,88,1st
20244098,English 1,83,2nd
20243562,English 1,87,4th
20249483,English 1,91,3rd
20243398,English 1,80,3rd
20243933,English 1,79,1st
20248593,English 1,83,2nd
20244829,ESP 1,77,2nd
20248952,ESP 1,88,4th
20249217,ESP 1,88,2nd
20248825,ESP 1,77,1st
20242619,ESP 1,90,4th
20243752,ESP 1,78,1st
20246039,ESP 1,79,4th
20243752,ESP 1,82,4th
20244829,ESP 1,81,3rd
20243933,ESP 1,89,1st
20240832,ESP 1,79,1st
20246056,ESP 1,90,1st
20247808,ESP 1,94,4th
20243703,ESP 1,88,3rd
20245444,ESP 1,89,3rd
20248919,ESP 1,89,3rd
20247557,ESP 1,85,2nd
20244940,ESP 1,87,3rd
20242069,ESP 1,82,2nd
20249547,ESP 1,80,3rd
20245444,ESP 1,88,4th
20248952,ESP 1,85,2nd
20242966,ESP 1,81,4th
20248593,ESP 1,93,3rd
20248365,ESP 1,90,2nd
20245641,ESP 1,91,4th
20243562,ESP 1,80,4th
20243398,ESP 1,92,3rd
20243562,ESP 1,77,3rd
20249483,ESP 1,87,3rd
20242966,ESP 1,80,1st
20240832,ESP 1,80,2nd
20243752,ESP 1,80,2nd
20243933,ESP 1,87,2nd
20244940,ESP 1,84,2nd
20242150,ESP 1,92,4th
20243703,ESP 1,87,4th
20243703,ESP 1,84,1st
20242150,ESP 1,90,3rd
20247808,ESP 1,95,1st
20240832,ESP 1,82,3rd
20248952,ESP 1,86,3rd
20249547,ESP 1,82,4th
20244940,ESP 1,86,4th
20246039,ESP 1,77,3rd
20247557,ESP 1,83,1st
20248952,ESP 1,87,1st
20242619,ESP 1,87,1st
20248919,ESP 1,88,1st
20243398,ESP 1,91,4th
20249483,ESP 1,89,4th
20245641,ESP 1,89,1st
20244098,ESP 1,83,4th
20244098,ESP 1,81,2nd
20241380,ESP 1,88,4th
20247114,ESP 1,80,1st
20249483,ESP 1,82,1st
20243398,ESP 1,90,1st
20245872,ESP 1,77,1st
20247114,ESP 1,85,4th
20248593,ESP 1,91,1st
20242619,ESP 1,87,2nd
20240085,ESP 1,80,4th
20243328,ESP 1,80,4th
20245641,ESP 1,90,3rd
20240085,ESP 1,78,1st
20248593,ESP 1,92,4th
20244940,ESP 1,85,1st
20246039,ESP 1,78,2nd
20247114,ESP 1,82,3rd
20243380,ESP 1,77,2nd
20246039,ESP 1,76,1st
20242069,ESP 1,83,1st
20246233,ESP 1,87,4th
20248825,ESP 1,80,2nd
20248365,ESP 1,89,3rd
20245872,ESP 1,81,4th
20242069,ESP 1,84,3rd
20248365,ESP 1,90,4th
20243703,ESP 1,86,2nd
20249217,ESP 1,91,4th
20245872,ESP 1,79,2nd
20240085,ESP 1,79,3rd
20249547,ESP 1,81,2nd
20243933,ESP 1,90,4th
20242966,ESP 1,79,2nd
20241380,ESP 1,87,3rd
20243938,ESP 1,81,3rd
20241437,ESP 1,88,3rd
20242150,ESP 1,89,2nd
20247557,ESP 1,91,3rd
20243328,ESP 1,79,2nd
20243938,ESP 1,79,1st
20248919,ESP 1,87,4th
20241380,ESP 1,84,2nd
20248825,ESP 1,88,4th
20244829,ESP 1,80,4th
20249547,ESP 1,78,1st
20245444,ESP 1,88,2nd
20243380,ESP 1,81,4th
20245444,ESP 1,86,1st
20246233,ESP 1,91,2nd
20247808,ESP 1,96,2nd
20245641,ESP 1,88,2nd
20246056,ESP 1,89,2nd
20247557,ESP 1,89,4th
20240085,ESP 1,77,2nd
20243562,ESP 1,77,1st
20244829,ESP 1,75,1st
20248365,ESP 1,91,1st
20246233,ESP 1,88,1st
20249217,ESP 1,89,3rd
20241380,ESP 1,85,1st
20248825,ESP 1,83,3rd
20248593,ESP 1,90,2nd
20243328,ESP 1,80,3rd
20243380,ESP 1,75,1st
20244098,ESP 1,78,1st
20248919,ESP 1,87,2nd
20243752,ESP 1,79,3rd
20247114,ESP 1,79,2nd
20242966,ESP 1,82,3rd
20243380,ESP 1,78,3rd
20246233,ESP 1,89,3rd
20243398,ESP 1,93,2nd
20241437,ESP 1,85,1st
20243933,ESP 1,89,3rd
20243938,ESP 1,82,2nd
20240832,ESP 1,81,4th
20243328,ESP 1,75,1st
20249483,ESP 1,85,2nd
20244098,ESP 1,79,3rd
20242619,ESP 1,87,3rd
20243562,ESP 1,78,2nd
20242069,ESP 1,85,4th
20241437,ESP 1,87,2nd
20249217,ESP 1,91,1st
20246056,ESP 1,90,3rd
20245872,ESP 1,83,3rd
20242150,ESP 1,90,1st
20246056,ESP 1,91,4th
20247808,ESP 1,93,3rd
20243938,ESP 1,82,4th
20241437,ESP 1,89,4th
20246056,MAPEH 1,90,2nd
20249217,MAPEH 1,88,1st
20245872,MAPEH 1,75,1st
20240085,MAPEH 1,93,4th
20243703,MAPEH 1,81,4th
20244829,MAPEH 1,84,1st
20248952,MAPEH 1,87,2nd
20245872,MAPEH 1,84,4th
20244098,MAPEH 1,91,4th
20244940,MAPEH 1,92,4th
20248365,MAPEH 1,90,3rd
20246233,MAPEH 1,90,2nd
20243933,MAPEH 1,86,3rd
20240832,MAPEH 1,84,2nd
20242966,MAPEH 1,85,2nd
20243703,MAPEH 1,80,2nd
20243752,MAPEH 1,89,3rd
20242150,MAPEH 1,88,3rd
20241380,MAPEH 1,89,1st
20243562,MAPEH 1,84,1st
20247808,MAPEH 1,87,4th
20240832,MAPEH 1,88,4th
20244098,MAPEH 1,91,1st
20242150,MAPEH 1,90,1st
20247557,MAPEH 1,88,2nd
20241380,MAPEH 1,90,2nd
20243938,MAPEH 1,88,2nd
20248593,MAPEH 1,83,2nd
20243380,MAPEH 1,87,1st
20247114,MAPEH 1,87,3rd
20249483,MAPEH 1,84,1st
20247557,MAPEH 1,94,4th
20245641,MAPEH 1,80,2nd
20243328,MAPEH 1,91,1st
20246233,MAPEH 1,92,4th
20243398,MAPEH 1,86,1st
20249547,MAPEH 1,89,4th
20240085,MAPEH 1,90,3rd
20249547,MAPEH 1,85,3rd
20245444,MAPEH 1,87,3rd
20244829,MAPEH 1,82,2nd
20246233,MAPEH 1,90,3rd
20248365,MAPEH 1,88,2nd
20242619,MAPEH 1,87,4th
20249547,MAPEH 1,86,2nd
20244098,MAPEH 1,90,3rd
20243380,MAPEH 1,85,3rd
20249217,MAPEH 1,89,3rd
20248365,MAPEH 1,85,1st
20245444,MAPEH 1,89,4th
20243752,MAPEH 1,92,2nd
20245444,MAPEH 1,86,1st
20248593,MAPEH 1,84,3rd
20243380,MAPEH 1,86,4th
20246039,MAPEH 1,86,2nd
20243938,MAPEH 1,88,1st
20249483,MAPEH 1,84,2nd
20246039,MAPEH 1,88,3rd
20243933,MAPEH 1,88,4th
20248825,MAPEH 1,93,4th
20248825,MAPEH 1,89,1st
20247808,MAPEH 1,86,3rd
20248952,MAPEH 1,89,4th
20243562,MAPEH 1,83,3rd
20249483,MAPEH 1,82,4th
20246056,MAPEH 1,93,3rd
20243328,MAPEH 1,86,3rd
20243562,MAPEH 1,84,2nd
20248825,MAPEH 1,92,3rd
20242619,MAPEH 1,86,2nd
20245872,MAPEH 1,80,3rd
20242150,MAPEH 1,89,4th
20245641,MAPEH 1,81,3rd
20243562,MAPEH 1,86,4th
20248952,MAPEH 1,83,1st
20243703,MAPEH 1,76,1st
20248919,MAPEH 1,93,2nd
20243933,MAPEH 1,87,2nd
20246233,MAPEH 1,89,1st
20242619,MAPEH 1,88,1st
20242069,MAPEH 1,82,1st
20244940,MAPEH 1,91,2nd
20245641,MAPEH 1,75,1st
20243398,MAPEH 1,85,2nd
20244940,MAPEH 1,91,3rd
20242966,MAPEH 1,84,4th
20249217,MAPEH 1,88,4th
20248919,MAPEH 1,92,3rd
20241380,MAPEH 1,92,3rd
20248593,MAPEH 1,81,1st
20247808,MAPEH 1,87,2nd
20243328,MAPEH 1,88,4th
20248593,MAPEH 1,84,4th
20242069,MAPEH 1,80,3rd
20242619,MAPEH 1,86,3rd
20240085,MAPEH 1,90,2nd
20242966,MAPEH 1,84,3rd
20244940,MAPEH 1,90,1st
20248365,MAPEH 1,89,4th
20241437,MAPEH 1,80,4th
20242069,MAPEH 1,84,4th
20248919,MAPEH 1,92,4th
20241380,MAPEH 1,95,4th
20243703,MAPEH 1,81,3rd
20249483,MAPEH 1,82,3rd
20248919,MAPEH 1,87,1st
20240085,MAPEH 1,92,1st
20241437,MAPEH 1,90,1st
20246039,MAPEH 1,85,1st
20247114,MAPEH 1,89,4th
20246039,MAPEH 1,89,4th
20247114,MAPEH 1,82,2nd
20243380,MAPEH 1,84,2nd
20249217,MAPEH 1,86,2nd
20243398,MAPEH 1,88,4th
20243398,MAPEH 1,87,3rd
20242150,MAPEH 1,89,2nd
20243752,MAPEH 1,94,4th
20240832,MAPEH 1,82,1st
