grade_section,gwa,remarks
GRADE 1 - CHICO,83,SATISFACTORY
GRADE 1 - CHICO,90,OUTSTANDING
GRADE 1 - CHICO,84,SATISFACTORY
GRADE 1 - CHICO,92,OUTSTANDING
GRADE 1 - CHICO,87,VERY SATISFACTORY
GRADE 1 - CHICO,89,VERY SATISFACTORY
GRADE 1 - CHICO,86,VERY SATISFACTORY
GRADE 1 - CHICO,88,VERY SATISFACTORY
GRADE 1 - CHICO,88,VERY SATISFACTORY
GRADE 1 - CHICO,93,OUTSTANDING
GRADE 1 - CHICO,93,OUTSTANDING
GRADE 1 - CHICO,86,VERY SATISFACTORY
GRADE 1 - CHICO,88,VERY SATISFACTORY
GRADE 1 - CHICO,86,VERY SATISFACTORY
GRADE 1 - CHICO,91,OUTSTANDING
GRADE 1 - CHICO,87,VERY SATISFACTORY
GRADE 1 - CHICO,88,VERY SATISFACTORY
GRADE 1 - CHICO,86,VERY SATISFACTORY
GRADE 1 - CHICO,87,VERY SATISFACTORY
GRADE 1 - CHICO,89,VERY SATISFACTORY
GRADE 1 - CHICO,90,OUTSTANDING
GRADE 1 - CHICO,87,VERY SATISFACTORY
GRADE 1 - CHICO,88,VERY SATISFACTORY
GRADE 1 - CHICO,84,SATISFACTORY
GRADE 1 - CHICO,91,OUTSTANDING
GRADE 1 - CHICO,88,VERY SATISFACTORY
GRADE 1 - APPLE,82,SATISFACTORY
GRADE 1 - APPLE,78,FAIRLY SATISFACTORY
GRADE 1 - APPLE,81,SATISFACTORY
GRADE 1 - APPLE,86,VERY SATISFACTORY
GRADE 1 - APPLE,82,SATISFACTORY
GRADE 1 - APPLE,77,FAIRLY SATISFACTORY
GRADE 1 - APPLE,75,FAIRLY SATISFACTORY
GRADE 1 - APPLE,75,FAIRLY SATISFACTORY
GRADE 1 - APPLE,83,SATISFACTORY
GRADE 1 - APPLE,77,FAIRLY SATISFACTORY
GRADE 1 - APPLE,81,SATISFACTORY
GRADE 1 - APPLE,83,SATISFACTORY
GRADE 1 - APPLE,84,SATISFACTORY
GRADE 1 - APPLE,82,SATISFACTORY
GRADE 1 - APPLE,83,SATISFACTORY
GRADE 1 - APPLE,81,SATISFACTORY
GRADE 1 - APPLE,80,SATISFACTORY
GRADE 1 - APPLE,78,FAIRLY SATISFACTORY
GRADE 1 - APPLE,80,SATISFACTORY
GRADE 1 - APPLE,85,VERY SATISFACTORY
GRADE 1 - APPLE,76,FAIRLY SATISFACTORY
GRADE 1 - APPLE,80,SATISFACTORY
GRADE 1 - APPLE,85,VERY SATISFACTORY
GRADE 1 - APPLE,85,VERY SATISFACTORY
GRADE 1 - APPLE,82,SATISFACTORY
GRADE 1 - APPLE,81,SATISFACTORY
GRADE 1 - APPLE,86,VERY SATISFACTORY
GRADE 1 - APPLE,83,SATISFACTORY
GRADE 1 - APPLE,84,SATISFACTORY
GRADE 1 - APPLE,81,SATISFACTORY
GRADE 1 - APPLE,83,SATISFACTORY
GRADE 1 - BANANA,79,FAIRLY SATISFACTORY
GRADE 1 - BANANA,78,FAIRLY SATISFACTORY
GRADE 1 - BANANA,78,FAIRLY SATISFACTORY
GRADE 1 - BANANA,80,SATISFACTORY
GRADE 1 - BANANA,79,FAIRLY SATISFACTORY
GRADE 1 - BANANA,80,SATISFACTORY
GRADE 1 - BANANA,81,SATISFACTORY
GRADE 1 - BANANA,80,SATISFACTORY
GRADE 1 - BANANA,80,SATISFACTORY
GRADE 1 - BANANA,80,SATISFACTORY
GRADE 1 - BANANA,76,FAIRLY SATISFACTORY
GRADE 1 - BANANA,76,FAIRLY SATISFACTORY
GRADE 1 - BANANA,76,FAIRLY SATISFACTORY
GRADE 1 - BANANA,79,FAIRLY SATISFACTORY
GRADE 1 - BANANA,82,SATISFACTORY
GRADE 1 - BANANA,77,FAIRLY SATISFACTORY
GRADE 1 - BANANA,76,FAIRLY SATISFACTORY
GRADE 1 - BANANA,78,FAIRLY SATISFACTORY
GRADE 1 - BANANA,79,FAIRLY SATISFACTORY
GRADE 1 - BANANA,81,SATISFACTORY
GRADE 1 - BANANA,79,FAIRLY SATISFACTORY
GRADE 1 - BANANA,83,SATISFACTORY
GRADE 1 - BANANA,76,FAIRLY SATISFACTORY
GRADE 1 - BANANA,81,SATISFACTORY
GRADE 1 - BANANA,82,SATISFACTORY
GRADE 1 - BANANA,77,FAIRLY SATISFACTORY
GRADE 1 - BANANA,82,SATISFACTORY
GRADE 1 - BANANA,80,SATISFACTORY
GRADE 1 - BANANA,76,FAIRLY SATISFACTORY
GRADE 1 - BANANA,77,FAIRLY SATISFACTORY
GRADE 1 - BANANA,78,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,84,SATISFACTORY
GRADE 1 - GRAPES,77,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,78,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,76,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,77,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,78,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,80,SATISFACTORY
GRADE 1 - GRAPES,85,VERY SATISFACTORY
GRADE 1 - GRAPES,77,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,76,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,82,SATISFACTORY
GRADE 1 - GRAPES,85,VERY SATISFACTORY
GRADE 1 - GRAPES,80,SATISFACTORY
GRADE 1 - GRAPES,76,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,80,SATISFACTORY
GRADE 1 - GRAPES,81,SATISFACTORY
GRADE 1 - GRAPES,78,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,77,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,78,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,78,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,80,SATISFACTORY
GRADE 1 - GRAPES,81,SATISFACTORY
GRADE 1 - GRAPES,81,SATISFACTORY
GRADE 1 - GRAPES,79,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,84,SATISFACTORY
GRADE 1 - GRAPES,85,VERY SATISFACTORY
GRADE 1 - GRAPES,86,VERY SATISFACTORY
GRADE 1 - GRAPES,77,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,79,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,80,SATISFACTORY
GRADE 1 - GRAPES,78,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,79,FAIRLY SATISFACTORY
GRADE 1 - GRAPES,80,SATISFACTORY
GRADE 1 - MANGO,78,FAIRLY SATISFACTORY
GRADE 1 - MANGO,76,FAIRLY SATISFACTORY
GRADE 1 - MANGO,77,FAIRLY SATISFACTORY
GRADE 1 - MANGO,76,FAIRLY SATISFACTORY
GRADE 1 - MANGO,76,FAIRLY SATISFACTORY
GRADE 1 - MANGO,78,FAIRLY SATISFACTORY
GRADE 1 - MANGO,77,FAIRLY SATISFACTORY
GRADE 1 - MANGO,80,SATISFACTORY
GRADE 1 - MANGO,80,SATISFACTORY
GRADE 1 - MANGO,82,SATISFACTORY
GRADE 1 - MANGO,80,SATISFACTORY
GRADE 1 - MANGO,78,FAIRLY SATISFACTORY
GRADE 1 - MANGO,80,SATISFACTORY
GRADE 1 - MANGO,77,FAIRLY SATISFACTORY
GRADE 1 - MANGO,81,SATISFACTORY
GRADE 1 - MANGO,77,FAIRLY SATISFACTORY
GRADE 1 - MANGO,79,FAIRLY SATISFACTORY
GRADE 1 - MANGO,85,VERY SATISFACTORY
GRADE 1 - MANGO,80,SATISFACTORY
GRADE 1 - MANGO,79,FAIRLY SATISFACTORY
GRADE 1 - MANGO,77,FAIRLY SATISFACTORY
GRADE 1 - MANGO,79,FAIRLY SATISFACTORY
GRADE 1 - MANGO,85,VERY SATISFACTORY
GRADE 1 - MANGO,81,SATISFACTORY
GRADE 1 - MANGO,86,VERY SATISFACTORY
GRADE 1 - MANGO,88,VERY SATISFACTORY
GRADE 1 - MANGO,80,SATISFACTORY
GRADE 1 - MANGO,79,FAIRLY SATISFACTORY
GRADE 1 - MANGO,84,SATISFACTORY
GRADE 1 - MANGO,75,FAIRLY SATISFACTORY
GRADE 1 - MANGO,78,FAIRLY SATISFACTORY
GRADE 1 - POMELO,83,SATISFACTORY
GRADE 1 - POMELO,79,FAIRLY SATISFACTORY
GRADE 1 - POMELO,75,FAIRLY SATISFACTORY
GRADE 1 - POMELO,80,SATISFACTORY
GRADE 1 - POMELO,83,SATISFACTORY
GRADE 1 - POMELO,83,SATISFACTORY
GRADE 1 - POMELO,81,SATISFACTORY
GRADE 1 - POMELO,81,SATISFACTORY
GRADE 1 - POMELO,78,FAIRLY SATISFACTORY
GRADE 1 - POMELO,79,FAIRLY SATISFACTORY
GRADE 1 - POMELO,83,SATISFACTORY
GRADE 1 - POMELO,82,SATISFACTORY
GRADE 1 - POMELO,78,FAIRLY SATISFACTORY
GRADE 1 - POMELO,79,FAIRLY SATISFACTORY
GRADE 1 - POMELO,80,SATISFACTORY
GRADE 1 - POMELO,75,FAIRLY SATISFACTORY
GRADE 1 - POMELO,82,SATISFACTORY
GRADE 1 - POMELO,80,SATISFACTORY
GRADE 1 - POMELO,77,FAIRLY SATISFACTORY
GRADE 1 - POMELO,80,SATISFACTORY
GRADE 1 - POMELO,79,FAIRLY SATISFACTORY
GRADE 1 - POMELO,79,FAIRLY SATISFACTORY
GRADE 1 - POMELO,83,SATISFACTORY
GRADE 1 - POMELO,81,SATISFACTORY
GRADE 1 - POMELO,83,SATISFACTORY
GRADE 1 - POMELO,81,SATISFACTORY
GRADE 1 - POMELO,77,FAIRLY SATISFACTORY
GRADE 1 - POMELO,82,SATISFACTORY
GRADE 1 - POMELO,78,FAIRLY SATISFACTORY
GRADE 1 - POMELO,81,SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,84,SATISFACTORY
GRADE 2 - AGUINALDO,85,VERY SATISFACTORY
GRADE 2 - AGUINALDO,83,SATISFACTORY
GRADE 2 - AGUINALDO,84,SATISFACTORY
GRADE 2 - AGUINALDO,91,OUTSTANDING
GRADE 2 - AGUINALDO,88,VERY SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,90,OUTSTANDING
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,84,SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,92,OUTSTANDING
GRADE 2 - AGUINALDO,87,VERY SATISFACTORY
GRADE 2 - AGUINALDO,92,OUTSTANDING
GRADE 2 - AGUINALDO,88,VERY SATISFACTORY
GRADE 2 - AGUINALDO,89,VERY SATISFACTORY
GRADE 2 - AGUINALDO,87,VERY SATISFACTORY
GRADE 2 - AGUINALDO,88,VERY SATISFACTORY
GRADE 2 - AGUINALDO,87,VERY SATISFACTORY
GRADE 2 - AGUINALDO,87,VERY SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,88,VERY SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,89,VERY SATISFACTORY
GRADE 2 - AGUINALDO,88,VERY SATISFACTORY
GRADE 2 - AGUINALDO,92,OUTSTANDING
GRADE 2 - AGUINALDO,87,VERY SATISFACTORY
GRADE 2 - AGUINALDO,86,VERY SATISFACTORY
GRADE 2 - AGUINALDO,89,VERY SATISFACTORY
GRADE 2 - AGUINALDO,87,VERY SATISFACTORY
GRADE 2 - GARCIA,78,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,76,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,76,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,76,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,81,SATISFACTORY
GRADE 2 - GARCIA,81,SATISFACTORY
GRADE 2 - GARCIA,78,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,77,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,82,SATISFACTORY
GRADE 2 - GARCIA,76,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,76,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,85,VERY SATISFACTORY
GRADE 2 - GARCIA,83,SATISFACTORY
GRADE 2 - GARCIA,82,SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,79,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,82,SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,79,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,80,SATISFACTORY
GRADE 2 - GARCIA,79,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,79,FAIRLY SATISFACTORY
GRADE 2 - GARCIA,76,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,86,VERY SATISFACTORY
GRADE 2 - QUEZON,85,VERY SATISFACTORY
GRADE 2 - QUEZON,79,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,77,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,75,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,83,SATISFACTORY
GRADE 2 - QUEZON,75,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,76,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,79,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,76,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,77,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,82,SATISFACTORY
GRADE 2 - QUEZON,77,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,78,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,79,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,82,SATISFACTORY
GRADE 2 - QUEZON,82,SATISFACTORY
GRADE 2 - QUEZON,81,SATISFACTORY
GRADE 2 - QUEZON,78,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,82,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - QUEZON,79,FAIRLY SATISFACTORY
GRADE 2 - QUEZON,80,SATISFACTORY
GRADE 2 - QUEZON,84,SATISFACTORY
GRADE 2 - ROXAS,80,SATISFACTORY
GRADE 2 - ROXAS,80,SATISFACTORY
GRADE 2 - ROXAS,81,SATISFACTORY
GRADE 2 - ROXAS,76,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,78,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,77,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,83,SATISFACTORY
GRADE 2 - ROXAS,80,SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,80,SATISFACTORY
GRADE 2 - ROXAS,76,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,76,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,76,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,83,SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,79,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,83,SATISFACTORY
GRADE 2 - ROXAS,84,SATISFACTORY
GRADE 2 - ROXAS,85,VERY SATISFACTORY
GRADE 2 - ROXAS,81,SATISFACTORY
GRADE 2 - ROXAS,85,VERY SATISFACTORY
GRADE 2 - ROXAS,81,SATISFACTORY
GRADE 2 - ROXAS,78,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,84,SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,82,SATISFACTORY
GRADE 2 - ROXAS,78,FAIRLY SATISFACTORY
GRADE 2 - ROXAS,76,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,78,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,77,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,78,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,78,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,75,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,76,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,76,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,77,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,78,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,76,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,81,SATISFACTORY
GRADE 2 - AQUINO,80,SATISFACTORY
GRADE 2 - AQUINO,76,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,83,SATISFACTORY
GRADE 2 - AQUINO,79,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,80,SATISFACTORY
GRADE 2 - AQUINO,76,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,78,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,83,SATISFACTORY
GRADE 2 - AQUINO,77,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,81,SATISFACTORY
GRADE 2 - AQUINO,80,SATISFACTORY
GRADE 2 - AQUINO,80,SATISFACTORY
GRADE 2 - AQUINO,80,SATISFACTORY
GRADE 2 - AQUINO,80,SATISFACTORY
GRADE 2 - AQUINO,83,SATISFACTORY
GRADE 2 - AQUINO,71,DID NOT MEET EXPECTATIONS
GRADE 2 - AQUINO,78,FAIRLY SATISFACTORY
GRADE 2 - AQUINO,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,76,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,79,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,79,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,80,SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,78,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,81,SATISFACTORY
GRADE 2 - LAUREL,78,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,75,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,82,SATISFACTORY
GRADE 2 - LAUREL,78,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,84,SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,85,VERY SATISFACTORY
GRADE 2 - LAUREL,78,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,84,SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,80,SATISFACTORY
GRADE 2 - LAUREL,84,SATISFACTORY
GRADE 2 - LAUREL,77,FAIRLY SATISFACTORY
GRADE 2 - LAUREL,84,SATISFACTORY
GRADE 2 - LAUREL,84,SATISFACTORY
GRADE 2 - MAGSAYSAY,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,78,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,83,SATISFACTORY
GRADE 2 - MAGSAYSAY,80,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,76,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,79,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,76,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,80,SATISFACTORY
GRADE 2 - MAGSAYSAY,79,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,76,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,79,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,80,SATISFACTORY
GRADE 2 - MAGSAYSAY,78,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,84,SATISFACTORY
GRADE 2 - MAGSAYSAY,82,SATISFACTORY
GRADE 2 - MAGSAYSAY,79,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,80,SATISFACTORY
GRADE 2 - MAGSAYSAY,79,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,79,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,80,SATISFACTORY
GRADE 2 - MAGSAYSAY,85,VERY SATISFACTORY
GRADE 2 - MAGSAYSAY,76,FAIRLY SATISFACTORY
GRADE 2 - MAGSAYSAY,81,SATISFACTORY
GRADE 2 - MAGSAYSAY,80,SATISFACTORY
GRADE 2 - MAGSAYSAY,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,78,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,77,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,78,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,75,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,75,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,75,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,77,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,80,SATISFACTORY
GRADE 3 - JUPITER,75,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,80,SATISFACTORY
GRADE 3 - JUPITER,78,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,75,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,75,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,83,SATISFACTORY
GRADE 3 - JUPITER,76,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,75,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,81,SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,79,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,83,SATISFACTORY
GRADE 3 - JUPITER,77,FAIRLY SATISFACTORY
GRADE 3 - JUPITER,80,SATISFACTORY
GRADE 3 - MARS,75,FAIRLY SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,77,FAIRLY SATISFACTORY
GRADE 3 - MARS,76,FAIRLY SATISFACTORY
GRADE 3 - MARS,75,FAIRLY SATISFACTORY
GRADE 3 - MARS,79,FAIRLY SATISFACTORY
GRADE 3 - MARS,77,FAIRLY SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,76,FAIRLY SATISFACTORY
GRADE 3 - MARS,77,FAIRLY SATISFACTORY
GRADE 3 - MARS,77,FAIRLY SATISFACTORY
GRADE 3 - MARS,80,SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,85,VERY SATISFACTORY
GRADE 3 - MARS,79,FAIRLY SATISFACTORY
GRADE 3 - MARS,81,SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,82,SATISFACTORY
GRADE 3 - MARS,81,SATISFACTORY
GRADE 3 - MARS,87,VERY SATISFACTORY
GRADE 3 - MARS,87,VERY SATISFACTORY
GRADE 3 - MARS,80,SATISFACTORY
GRADE 3 - MARS,78,FAIRLY SATISFACTORY
GRADE 3 - MARS,81,SATISFACTORY
GRADE 3 - MARS,82,SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,78,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,83,SATISFACTORY
GRADE 3 - MERCURY,84,SATISFACTORY
GRADE 3 - MERCURY,80,SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,78,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,78,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,76,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,80,SATISFACTORY
GRADE 3 - MERCURY,78,FAIRLY SATISFACTORY
GRADE 3 - MERCURY,77,FAIRLY SATISFACTORY
